Task ID,News Entity,Science Entity,Task Type
205802,patients,control patients,Paraphrasing
527,a giant short-faced bear,the gigantic extinct Agriotherium africanum,Paraphrasing
185137,strange dreams,distressing dreams,Paraphrasing
641,smell,Odor perception,Paraphrasing
653,The triple-drug cocktail,the combination,Paraphrasing
233830,the pandemic,the global spread,Paraphrasing
703,the summer months,the austral summer,Paraphrasing
142064,a new optical imaging technology,a comprehensive three-dimensional (3D) visualization,Paraphrasing
709,the animal's genes,its evolutionary proximity,Paraphrasing
717,nematode worms,the nematode Caenorhabditis elegans,Paraphrasing
201558,the scientists,Experimenters,Paraphrasing
782,The brains of rodents,the Drosophila brain,Paraphrasing
239073,international integration,global interconnectedness,Paraphrasing
229445,the crust,the subsurface structure,Paraphrasing
